age,body,colour,fuel,location,make,milage,model,price,transmission
7.6057494867,Hatchback,Grey,Diesel,Bristol,FIAT,47435,500X DIESEL HATCHBACK 2.0 Multijet 4x4 Cross 5dr,9400,Manual
3.8767967146,Hatchback,White,Petrol,Swindon,KIA,30520,PICANTO HATCHBACK 1.25 2 5dr,9500,Manual
4.5420944559,Hatchback,Red,Petrol,Warrington,TOYOTA,23065,AYGO HATCHBACK 1.0 VVT-i X-Play 5dr,9500,Manual
4.2436687201,Hatchback,Pink,Petrol,Sheffield,FIAT,9823,500 HATCHBACK 1.2 Lounge 3dr,9500,Manual
2.6310746064,Hatchback,White,Petrol,Doncaster,KIA,23375,PICANTO HATCHBACK 1.0 1 5dr [4 seats],9500,Manual
4.3832991102,Hatchback,Blue,Petrol,Wolverhampton,KIA,38406,PICANTO HATCHBACK SPECIAL EDITION 1.0 Wave 5dr,9500,Manual
4.8131416838,Hatchback,Grey,Petrol,Bristol,SKODA,56164,FABIA HATCHBACK 1.0 MPI 75 SE L 5dr,9500,Manual
3.7289527721,Hatchback,Grey,Petrol,Wakefield,FIAT,35345,500 HATCHBACK 1.2 Lounge 3dr,9500,Manual
3.1211498973,Hatchback,Blue,Petrol,Sheffield,KIA,27303,PICANTO HATCHBACK 1.0 1 5dr [4 seats],9500,Manual
4.7255304586,Hatchback,Green,Petrol,Swindon,FIAT,20058,500 HATCHBACK 1.2 Lounge 3dr,9500,Manual
3.3347022587,Hatchback,Black,Petrol,Wakefield,PEUGEOT,23152,108 HATCHBACK 1.0 72 Collection 5dr,9500,Manual
4.4845995893,Hatchback,White,Petrol,Manchester,PEUGEOT,9369,108 HATCHBACK 1.0 72 Collection 5dr,9500,Manual
4.1177275838,Hatchback,White,Petrol,Bristol,PEUGEOT,11668,108 HATCHBACK 1.0 72 Allure 5dr,9500,Manual
4.3148528405,Hatchback,Red,Petrol,Norwich,VAUXHALL,43116,CORSA HATCHBACK 1.4 SRi Nav 3dr,9500,Manual
4.476386037,Hatchback,Black,Petrol,Sheffield,VAUXHALL,29290,ADAM HATCHBACK SPECIAL EDS 1.2i Energised 3dr,9500,Manual
4.8186173854,Hatchback,Red,Petrol,Warrington,VAUXHALL,24802,CORSA HATCHBACK SPECIAL EDS 1.4 [75] Energy 3dr [AC],9500,Manual
4,Hatchback,Red,Petrol,Northampton,VAUXHALL,6678,VIVA HATCHBACK 1.0 [73] SE 5dr [A/C],9500,Manual
3.7289527721,Hatchback,White,Petrol,Norwich,CITROEN,22737,C1 HATCHBACK 1.0 VTi 72 Urban Ride 5dr,9500,Manual
4.0629705681,Hatchback,Blue,Petrol,Sheffield,CITROEN,14863,C1 HATCHBACK 1.0 VTi 72 Urban Ride 5dr,9500,Manual
3.6495550992,Hatchback,Beige,Petrol,Manchester,CITROEN,16510,C1 HATCHBACK 1.0 VTi 72 Flair 3dr,9500,Manual
4.6461327858,Hatchback,Black,Petrol,Wolverhampton,VOLKSWAGEN,40415,UP HATCHBACK SPECIAL EDS 1.0 Up Beats 3dr,9500,Manual
5.6783025325,Hatchback,Silver,Diesel,Sheffield,KIA,62788,CEED DIESEL HATCHBACK 1.6 CRDi ISG 2 5dr,9500,Manual
5.1772758385,Hatchback,White,Petrol,Cardiff,SEAT,12133,MII HATCHBACK 1.0 FR Line 5dr,9500,Manual
5.325119781,Hatchback,Red,Petrol,Sheffield,VOLKSWAGEN,18157,UP HATCHBACK 1.0 Move Up 5dr,9500,Manual
5.1115674196,Hatchback,White,Petrol,Northampton,TOYOTA,5192,AYGO HATCHBACK 1.0 VVT-i X-Play 5dr,9500,Manual
5.4729637235,Hatchback,Blue,Petrol,Nottingham,VOLKSWAGEN,19303,UP HATCHBACK 1.0 Move Up 3dr,9500,Manual
5.1635865845,Hatchback,Silver,Petrol,Bristol,HYUNDAI,38758,I10 HATCHBACK 1.2 Premium 5dr,9500,Manual
4.9801505818,Hatchback,Red,Petrol,Wakefield,HYUNDAI,9184,I10 HATCHBACK 1.0 SE 5dr,9500,Manual
5.067761807,Hatchback,Red,Petrol,Manchester,CITROEN,18233,C1 HATCHBACK 1.2 PureTech Flair 5dr,9500,Manual
5.0102669405,Hatchback,Green,Petrol,Swindon,RENAULT,9878,TWINGO HATCHBACK 0.9 TCE Iconic 5dr [Start Stop],9500,Manual
6.4832306639,Hatchback,Grey,Petrol,Nottingham,FIAT,19587,500 HATCHBACK 0.9 TwinAir 105 Lounge 3dr,9500,Manual
5.5961670089,Hatchback,Blue,Petrol,Wolverhampton,FORD,62236,FOCUS HATCHBACK 1.0 EcoBoost 125 Zetec Edition 5dr,9500,Manual
5.0650239562,Hatchback,Mauve,Petrol,Swindon,PEUGEOT,9458,108 HATCHBACK 1.0 72 Allure 5dr,9500,Manual
4.476386037,Hatchback,White,Petrol,Nottingham,FIAT,23897,500 HATCHBACK 1.2 Lounge 3dr,9550,Manual
